File,Line,Broken Slug
_posts/1986-06-15-international-games-skip-bo-card-game-in-box-complete.md,17,2024-02-01-top-10-retro-card-games.
_posts/1991-11-17-face-a-faccia-celebrita.md,93,per
_posts/1994-04-01-mtg-fourth-edition-booster-pack.md,48,2021-07-18-retro-mtg-unboxings
_posts/1994-04-01-mtg-fourth-edition-booster-pack.md,49,2020-12-05-nostalgia-collector-series
_posts/1994-04-01-mtg-fourth-edition-booster-pack.md,73,2019-03-21-old-school-boosters
_posts/1994-04-01-mtg-fourth-edition-booster-pack.md,74,2020-09-30-vintage-decks-journey
_posts/1994-04-01-mtg-fourth-edition-booster-pack.md,100,2021-05-22-retro-unboxings-joy
_posts/1994-04-01-mtg-fourth-edition-booster-pack.md,101,2022-08-03-collectors-journal
_posts/1999-12-31-skip-bo-original-card-game-mattel-sealed-vtg-review.md,81,tag
_posts/2013-12-27-cards-against-humanity-2013-holiday-pack.md,85,2015-12-25-geeknite-holiday-board-games-roundup
_posts/2013-12-27-cards-against-humanity-2013-holiday-pack.md,108,2014-12-20-cah-strategy-and-first-experiences
_posts/2013-12-27-cards-against-humanity-2013-holiday-pack.md,109,2015-12-25-geeknite-holiday-board-games-roundup
_posts/2015-04-11-asmodee-dixit-promo-cards-tabletop-day-2015-nm.md,27,2015-01-20-dixit-base-game-review
_posts/2015-04-11-asmodee-dixit-promo-cards-tabletop-day-2015-nm.md,84,2015-01-20-dixit-base-game-review
_posts/2015-04-11-asmodee-dixit-promo-cards-tabletop-day-2015-nm.md,85,2015-02-14-dixit-promos-and-night-hijinks
_posts/2015-04-11-asmodee-dixit-promo-cards-tabletop-day-2015-nm.md,113,2015-01-20-dixit-base-game-review
_posts/2015-04-11-asmodee-dixit-promo-cards-tabletop-day-2015-nm.md,114,2015-03-30-dixit-odyssey-expansion-notes
_posts/2017-04-01-tolkien-the-mind-of-a-genius-newsweek-special-edition.md,72,2018-04-12-tolkien-language-mechanics
_posts/2017-04-01-tolkien-the-mind-of-a-genius-newsweek-special-edition.md,73,2019-09-07-mythmaking-modern-era
_posts/2017-04-01-tolkien-the-mind-of-a-genius-newsweek-special-edition.md,74,2020-02-15-worldbuilding-101
_posts/2020-04-22-hasbro-monopoly-fuer-schlechte-verlierer.md,20,2023-11-01-monopoly-mods-fuer-familien
_posts/2020-04-22-hasbro-monopoly-fuer-schlechte-verlierer.md,82,2023-11-01-monopoly-mods-fuer-familien
_posts/2020-04-22-hasbro-monopoly-fuer-schlechte-verlierer.md,83,2022-06-15-spieltests-in-praxis
_posts/2020-07-04-core-set-2021-booster-pack.md,79,2020-07-04-core-set-2020-booster-pack
_posts/2020-07-04-core-set-2021-booster-pack.md,80,2020-07-11-core-set-drafting-guide
_posts/2020-07-04-core-set-2021-booster-pack.md,81,2019-08-15-core-sets-retrospective
_posts/2020-07-20-sealed-m21-collector-booster-display-box-review.md,47,2020-07-12-magic-box-opening-tips
_posts/2020-07-20-sealed-m21-collector-booster-display-box-review.md,80,2020-07-12-magic-box-opening-tips
_posts/2020-07-20-sealed-m21-collector-booster-display-box-review.md,81,2020-07-01-sealed-mbox-guide
_posts/2020-10-15-hasbro-monopoly-fuer-schlechte-verlierer-2020.md,85,2020-03-20-monopoly-variante-review
_posts/2020-10-15-hasbro-monopoly-fuer-schlechte-verlierer-2020.md,86,2020-05-12-brettspiel-tipps
_posts/2020-10-15-mattel-uno-card-game-with-customizable-wild-cards-new-2020.md,106,2021-04-20-creative-types-night
